"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT1G06410",0,0,3,0,0,0,0,0,0
"AT1G07020",0,0,-3,0,0,0,0,0,0
"AT1G07240",0,0,-3,0,0,0,0,0,0
"AT1G07510",0,0,-3,0,0,0,0,0,0
"AT1G08315",0,0,3,0,0,0,0,0,0
"AT1G08720",0,0,3,0,0,0,0,0,0
"AT1G09060",0,0,-3,0,0,0,0,0,0
"AT1G09390",0,0,3,0,0,0,0,0,0
"AT1G49050",0,0,3,0,0,0,0,0,0
"AT1G49660",0,0,3,0,0,0,0,0,0
"AT1G52720",0,0,-3,0,0,0,0,0,0
"AT1G53570",0,0,-3,0,0,0,0,0,0
"AT1G55450",0,0,-3,0,0,0,0,0,0
"AT1G58180",0,0,-3,0,0,0,0,0,0
"AT1G59580",0,0,-3,0,0,0,0,0,0
"AT1G59710",0,0,-3,0,0,0,0,0,0
"AT1G59900",0,0,3,3,-3,0,0,0,0
"AT1G61460",0,0,3,0,0,0,0,0,0
"AT1G63090",0,0,-3,0,0,0,0,0,0
"AT1G63740",0,0,-3,0,0,0,0,0,0
"AT1G63860",0,0,-3,0,0,0,0,0,0
"AT1G64810",0,0,-3,0,0,0,0,0,0
"AT1G64980",0,0,-3,0,0,0,0,0,0
"AT1G67530",0,0,3,0,0,0,0,0,0
"AT1G69520",0,0,-3,0,0,0,0,0,0
"AT1G69790",0,0,-3,0,0,0,0,0,0
"AT1G70590",0,0,-3,0,0,0,0,0,0
"AT1G70980",0,0,-3,0,0,0,0,0,0
"AT1G72740",0,0,-3,0,0,0,0,0,0
"AT1G73030",0,0,-3,0,0,0,0,0,0
"AT1G73380",0,0,-3,0,0,0,0,0,0
"AT1G74920",0,0,-3,0,0,0,0,0,0
"AT1G75000",0,0,3,0,0,0,0,0,0
"AT1G75220",0,0,3,0,0,0,0,0,0
"AT1G75440",0,0,-3,0,0,0,0,0,0
"AT1G76040",0,0,3,0,0,0,0,0,0
"AT1G76180",0,0,-3,0,0,0,-3,0,0
"AT1G76670",0,0,3,0,0,0,0,0,0
"AT1G76970",0,0,-3,0,0,0,0,0,0
"AT1G78280",0,0,3,0,0,0,0,0,0
"AT1G78700",0,0,-3,0,0,0,0,0,0
"AT1G79245",0,0,3,0,0,0,0,0,0
"AT1G79340",0,0,-3,0,0,0,0,0,0
"AT1G79380",0,0,3,0,0,0,0,0,0
"AT1G80420",0,0,-3,0,0,0,0,0,0
"AT1G80440",0,0,-3,0,0,0,0,0,0
"AT2G04305",0,0,3,0,0,0,0,0,0
"AT2G11520",0,0,-3,0,0,0,0,0,0
"AT2G17520",0,0,3,0,0,0,0,0,0
"AT2G17840",0,0,-3,0,0,0,0,0,0
"AT2G18090",0,0,3,0,0,0,0,0,0
"AT2G18730",0,0,3,0,0,0,0,0,0
"AT2G18860",0,0,3,0,0,0,0,0,0
"AT2G20770",0,0,3,0,0,0,0,0,0
"AT2G20960",0,0,-3,0,0,0,0,0,0
"AT2G22300",0,0,3,0,0,0,0,0,0
"AT2G22790",0,0,3,0,0,0,0,0,0
"AT2G22910",0,0,-3,3,0,0,0,0,0
"AT2G23120",0,0,-3,0,0,0,0,0,0
"AT2G23450",0,0,-3,0,0,0,0,0,0
"AT2G26300",0,0,-3,0,0,0,0,0,0
"AT2G26600",0,0,-3,0,3,0,3,0,0
"AT2G27830",0,0,3,0,0,0,0,0,0
"AT2G30250",0,0,-3,0,0,0,0,0,0
"AT2G30440",0,0,-3,0,0,0,0,0,0
"AT2G30720",0,0,-3,0,0,0,0,0,0
"AT2G31680",0,0,-3,0,0,0,0,0,0
"AT2G31800",0,0,3,0,0,0,0,0,0
"AT2G31870",0,0,3,0,0,0,0,0,0
"AT2G33110",0,0,3,0,0,0,0,0,0
"AT2G33120",0,0,-3,0,0,0,0,0,0
"AT2G33590",0,0,3,0,0,0,0,0,0
"AT2G33630",0,0,-3,0,0,0,0,0,0
"AT2G35230",0,0,-3,0,0,0,0,0,0
"AT2G35880",0,0,-3,0,0,0,0,0,0
"AT2G36220",0,0,-3,0,0,0,0,0,0
"AT2G36680",0,0,-3,0,-3,0,0,0,0
"AT2G37110",0,0,-3,0,0,0,0,0,0
"AT2G37550",0,0,-3,0,0,0,0,0,0
"AT2G37940",0,0,-3,0,0,0,0,0,0
"AT2G38500",0,0,-3,0,0,0,0,0,0
"AT2G39570",0,0,3,0,0,0,0,0,0
"AT2G39840",0,0,-3,0,0,0,0,0,0
"AT2G40000",0,0,-3,0,0,0,0,0,0
"AT2G40280",0,0,-3,0,3,0,0,0,0
"AT2G42010",0,0,3,0,0,0,0,0,0
"AT2G42890",0,0,-3,0,0,0,0,0,0
"AT2G43430",0,0,3,0,0,0,0,0,0
"AT2G43850",0,0,-3,0,-3,0,0,0,0
"AT2G44060",0,0,3,3,0,0,0,0,0
"AT2G46500",0,0,-3,0,0,0,0,0,0
"AT2G47070",0,0,-3,0,0,0,0,0,0
"AT3G01520",0,0,-3,0,0,0,0,0,0
"AT3G01640",0,0,-3,0,0,0,0,0,0
"AT3G02460",0,0,3,0,0,0,0,0,0
"AT3G05580",0,0,3,0,0,0,0,0,0
"AT3G05670",0,0,-3,0,0,0,0,0,0
"AT3G06760",0,0,-3,0,0,0,0,0,0
"AT3G06780",0,0,-3,0,0,0,0,0,0
"AT3G07370",0,0,-3,0,0,0,0,0,0
"AT3G07880",0,0,-3,0,0,0,0,0,0
"AT3G07890",0,0,3,0,0,0,0,0,0
"AT3G08710",0,0,3,0,0,0,0,0,0
"AT3G10330",0,0,-3,0,0,0,0,0,0
"AT3G10660",0,0,-3,0,0,0,0,0,0
"AT3G11440",0,0,3,0,0,0,0,0,0
"AT3G11820",0,0,-3,0,0,0,0,0,0
"AT3G12360",0,0,-3,0,0,0,0,0,0
"AT3G12520",0,0,-3,0,0,0,0,0,0
"AT3G13050",0,0,-3,0,0,0,0,0,0
"AT3G13080",0,0,-3,0,0,0,0,0,0
"AT3G14050",0,0,-3,0,0,0,0,0,0
"AT3G14070",0,0,3,0,0,0,0,0,0
"AT3G14590",0,0,-3,0,0,0,0,0,0
"AT3G15730",0,0,-3,0,-3,0,0,0,0
"AT3G15760",0,0,-3,0,0,0,0,0,0
"AT3G15770",0,0,3,0,0,0,0,0,0
"AT3G15820",0,0,3,0,0,0,0,0,0
"AT3G17310",0,0,-3,0,0,0,0,0,0
"AT3G17700",0,0,-3,0,0,0,0,0,0
"AT3G17710",0,0,3,0,0,0,0,0,0
"AT3G17770",0,0,3,0,0,0,0,0,0
