"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT4G32570",3,0,0,-3,0,0,0,0,0
"AT4G32880",3,0,0,-3,0,0,0,0,0
"AT4G33990",3,0,0,0,0,0,0,0,0
"AT4G34020",3,0,0,3,0,0,0,0,0
"AT4G34570",3,0,3,-3,0,0,0,0,0
"AT4G35490",3,0,0,-3,0,0,0,0,0
"AT4G35840",3,0,0,0,0,0,0,0,0
"AT4G35930",3,0,0,-3,0,0,0,0,0
"AT4G36220",3,0,0,-3,0,0,0,0,0
"AT4G37510",3,0,0,0,0,0,0,0,0
"AT4G37740",3,0,0,0,0,0,0,0,0
"AT4G38430",3,-3,3,0,0,0,0,0,0
"AT4G38660",3,0,0,0,0,0,0,-3,0
"AT4G38760",3,0,0,-3,0,0,0,0,0
"AT4G38950",3,0,0,-3,0,0,0,0,0
"AT4G39160",3,0,0,-3,0,0,0,0,0
"AT4G39620",3,0,3,-3,0,0,0,0,0
"AT5G02860",3,0,0,-3,0,0,0,0,0
"AT5G03760",3,0,-3,3,0,0,0,0,0
"AT5G04060",3,0,-3,3,0,0,0,0,0
"AT5G04940",3,0,0,-3,0,0,0,0,0
"AT5G05860",3,0,0,-3,0,0,0,0,0
"AT5G07140",3,0,0,-3,0,0,0,0,0
"AT5G07180",3,0,3,-3,0,0,0,0,0
"AT5G08280",3,0,0,-3,0,0,0,-3,0
"AT5G08400",-3,0,0,3,0,0,0,0,0
"AT5G09995",3,-3,0,-3,0,0,0,0,0
"AT5G10020",3,0,0,-3,0,0,0,0,0
"AT5G10480",3,0,0,3,0,0,0,0,0
"AT5G11430",3,0,0,-3,0,0,0,0,0
"AT5G11880",3,0,3,3,0,0,0,0,0
"AT5G12840",3,3,0,-3,0,0,0,0,0
"AT5G13140",3,0,0,3,0,0,0,0,0
"AT5G13960",3,0,0,-3,0,0,0,0,0
"AT5G14100",3,0,0,3,0,0,0,0,0
"AT5G14210",3,0,0,-3,0,0,0,0,0
"AT5G14370",3,0,0,3,0,0,0,0,0
"AT5G14790",3,0,0,-3,0,0,0,0,0
"AT5G15210",3,0,0,-3,0,0,0,0,0
"AT5G15230",3,0,0,-3,0,0,0,0,0
"AT5G15310",3,0,0,0,0,0,0,0,0
"AT5G15520",-3,0,0,3,0,0,0,0,0
"AT5G15740",3,0,0,0,0,0,0,0,0
"AT5G16000",3,0,0,-3,0,0,0,0,0
"AT5G16290",-3,3,3,3,0,0,0,0,0
"AT5G18255",3,0,0,3,0,0,0,0,0
"AT5G18460",3,0,0,-3,0,0,0,0,0
"AT5G18620",3,0,3,0,0,0,0,0,0
"AT5G19290",3,0,0,-3,0,0,0,0,0
"AT5G19620",-3,0,3,3,0,0,0,0,0
"AT5G20040",3,0,0,0,0,0,0,0,0
"AT5G20060",3,3,-3,-3,0,0,0,3,0
"AT5G20450",3,0,0,0,0,0,0,0,0
"AT5G20850",3,0,0,0,0,0,0,0,0
"AT5G22750",3,0,0,0,0,0,0,0,0
"AT5G24060",-3,0,-3,0,0,0,0,0,0
"AT5G24760",3,0,0,-3,0,0,0,0,0
"AT5G24830",3,0,0,-3,0,0,0,0,0
"AT5G25590",3,0,0,-3,0,0,0,0,0
"AT5G26280",3,0,0,3,0,0,0,0,0
"AT5G26622",3,0,0,3,0,0,0,0,0
"AT5G27390",3,0,0,-3,0,0,0,0,0
"AT5G27470",3,0,-3,-3,0,0,0,0,0
"AT5G35790",-3,3,0,3,0,0,0,0,0
"AT5G37260",3,0,0,3,0,0,0,0,0
"AT5G38110",3,0,-3,0,0,0,0,3,0
"AT5G39080",3,0,0,3,0,0,0,0,0
"AT5G39530",3,0,0,-3,0,0,0,0,0
"AT5G39830",3,0,3,3,0,0,0,0,0
"AT5G39980",3,0,0,-3,0,0,0,0,0
"AT5G40942",3,0,0,3,0,0,0,0,0
"AT5G40950",-3,0,0,3,0,0,0,0,0
"AT5G43810",3,3,0,-3,0,0,0,0,0
"AT5G45680",-3,0,0,3,0,0,0,0,0
"AT5G45790",3,0,0,0,0,0,0,0,0
"AT5G45930",3,0,3,-3,0,0,0,0,0
"AT5G45950",3,0,0,-3,0,0,0,0,0
"AT5G46070",-3,0,3,3,0,0,0,0,0
"AT5G46700",3,0,3,-3,0,0,0,0,0
"AT5G46740",3,0,0,-3,0,0,0,0,0
"AT5G47440",-3,0,0,0,0,0,0,0,0
"AT5G48040",3,0,0,-3,0,0,0,0,0
"AT5G48360",3,0,0,-3,0,0,0,0,0
"AT5G48500",3,0,0,3,0,0,0,0,0
"AT5G49010",3,0,0,-3,0,0,0,0,0
"AT5G49170",3,0,0,0,0,0,0,0,0
"AT5G50090",3,0,0,0,0,0,0,0,0
"AT5G50280",3,0,0,-3,0,0,0,0,0
"AT5G50740",3,0,3,-3,0,0,0,-3,0
"AT5G50990",3,0,0,0,0,0,0,0,0
"AT5G52920",3,0,0,-3,0,0,0,0,0
"AT5G53540",-3,0,0,3,0,0,0,0,0
"AT5G54180",3,0,0,-3,0,0,0,0,0
"AT5G55530",3,0,-3,-3,0,0,0,0,0
"AT5G55740",3,0,0,-3,0,0,0,0,0
"AT5G56100",-3,0,0,0,0,0,0,0,0
"AT5G56530",3,0,0,-3,0,0,0,0,0
"AT5G56740",3,0,0,-3,0,0,0,0,0
"AT5G58000",3,0,0,-3,0,0,0,0,0
"AT5G59500",3,0,0,3,0,0,0,0,0
"AT5G59910",3,0,0,-3,0,0,0,0,0
"AT5G60210",-3,0,0,3,0,0,0,0,0
"AT5G60690",3,0,0,-3,0,0,0,0,0
"AT5G61480",3,0,0,-3,0,0,0,0,0
"AT5G62300",3,0,0,3,0,0,0,-3,0
"AT5G62650",-3,0,0,3,0,0,0,0,0
"AT5G63220",-3,0,0,0,0,0,0,0,0
"AT5G63550",3,0,0,-3,0,0,0,0,0
"AT5G65890",3,0,0,0,0,0,0,0,0
"AT5G66440",3,0,0,-3,0,0,0,0,0
"AT5G66560",3,0,0,0,0,0,0,0,0
"AT5G67020",3,0,0,0,0,0,0,0,0
"AT5G67260",3,0,0,3,0,0,0,0,0
"AT1G55370",0,3,-3,3,0,0,0,0,0
"AT1G60550",0,3,0,3,0,0,0,0,0
"AT1G73760",0,3,-3,-3,0,0,0,0,0
"AT1G75010",0,3,0,3,0,0,0,0,0
"AT1G78915",0,3,0,0,0,0,0,0,0
"AT2G01918",0,3,3,3,0,0,0,0,0
"AT2G45770",0,-3,3,3,0,0,0,0,0
"AT2G47940",0,-3,0,-3,0,0,0,0,0
"AT3G08010",0,3,0,3,0,0,0,0,0
"AT3G53240",0,3,0,3,0,0,0,0,0
"AT3G60210",0,-3,0,-3,0,0,0,0,0
"AT4G09010",0,3,0,3,0,0,0,0,0
"AT4G13590",0,3,0,0,0,0,0,0,0
"AT4G21445",0,3,0,0,0,0,0,0,0
"AT5G08540",0,-3,3,3,0,0,0,0,0
"AT5G26820",0,3,0,-3,0,0,0,0,0
"AT5G36170",0,3,0,-3,0,0,0,0,0
"AT5G47900",0,3,0,3,0,0,0,0,0
"AT5G52440",0,3,0,-3,0,0,0,0,0
"AT5G57030",0,3,0,-3,0,0,0,0,0
"AT5G60200",0,3,0,-3,0,0,0,0,0
"AT5G64380",0,3,3,-3,0,0,0,0,0
"AT1G02150",0,0,3,-3,0,0,0,0,0
"AT1G04420",0,0,-3,3,0,0,0,0,0
"AT1G48350",0,0,-3,3,0,0,0,0,0
"AT1G51630",0,0,-3,3,0,0,0,0,0
"AT1G56580",0,0,3,3,0,0,0,0,0
"AT1G57820",0,0,3,-3,0,0,0,3,0
"AT1G61430",0,0,3,-3,0,0,0,0,0
"AT1G64150",0,0,-3,3,0,0,0,0,0
"AT1G65900",0,0,-3,3,0,0,0,0,0
"AT1G67750",0,0,3,3,0,0,0,0,0
"AT1G72640",0,0,-3,-3,0,0,0,0,0
"AT1G73530",0,0,-3,3,0,0,0,0,0
"AT1G75350",0,0,-3,3,0,0,0,0,0
