Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
rep1_cl5	0	0.0508844553105989	0.723413769463272	0	0.045558085074421	0.0247515405688036	0.0941369843231783	0	0.00877852177672892	0.0276239357109131	0.00323718024778488	0.0209848231873448	0.000225101313934486	0.000405603023020385	0	0	0	0	0.911063452575661	0.82821608046481
rep2_cl5	0	0.047335374066738	0.67662829913939	0	0.0450977649399585	0.0312171373469903	0.120845919582786	0	0.00349910009953755	0.0240118735658856	0.0162234003476617	0.0312942967058195	0.000459021657146196	0.000342517014323033	0.00304529553376424	0	0	0	0.907354492879364	0.837746114512958
rep1_cl6	0.643998951155746	0	0.0858711397920243	0.00399612348697992	0.0219392483425458	0.028691694759116	0.13509258370654	0	0.00130145576417328	0.0523540301394405	0	0.0230200240241241	0	0.00136464308210276	0.00237010574720836	0	0	0	0.87877950794611	0.5070332358991
rep2_cl6	0.665729800209446	0	0.0924950122750983	0	0.0143926854456237	0	0.128863140060637	0	0.0121160916501588	0.0414287275750387	0.0028141205847488	0.0349050407862197	3.3789622509452e-05	0	0.000279350198953904	0.00694224159156515	0	0	0.882101954101992	0.495023393246123
rep1_cl7	8.5075176883994e-05	0.061218918285017	0.01385836466744	0	0.0927415093846599	0.00698466327593894	0.0571017398804578	0.000657230471953969	0.0168649448204136	0.685185217974434	0.0252894182472075	0.0376266497982986	0	0.000104787125587424	0.00226443691200479	1.70439797026619e-05	0	0	0.919992281618186	0.768601108900615
rep2_cl7	0	0	0.123568063807268	0	0.0365204847337784	0.00846655074582127	0.131477601307583	0	0.00718513782319907	0.645757693807918	0.00181215613650042	0.0437050696776749	0.000128362484939493	0.00025677942420101	0.000981777284634	0.000140322766482565	0	0	0.920585160312434	0.767654247124854
rep1_cl8	0.00142661352082037	0	0.0179327447332159	0	0.00761504272944049	0.0705167449255493	0.0328504841021062	0.000247333146146564	0.00589250361574243	0	0.00492517534748309	0.857721578121244	8.26487837808435e-05	0	0.000789130974470407	0	0	0	0.954187935131442	0.734309469615115
rep2_cl8	0.00158664645704002	0	0.0114349130874337	0	0.0348941047061284	0	0.0431088901571226	6.27709721459393e-05	0.00891699424884646	0	0	0.895124554417044	0	0.000668325763229563	0	0	0.00420280019100906	0	0.948750464883654	0.728653796635383
rep1_cl9	0.018090367246374	0.0325640393431941	0.0248610258005219	0	0	0.0275071442303234	0.198270887881565	0.64694907625062	0.0321622554504896	0.00610293401851672	0	0	0.000500820230297351	0	0.000584721319044517	0.0124067282290531	0	0	0.858032412653874	0.578127009734058
rep2_cl9	0.0125073389335027	0.0508593187265233	0.0565871134199721	0	0	0.071301094068716	0.146094331015475	0.619512892195827	0.0117011147851795	0	0.0175236978144829	0.00621897280573676	5.52385438262033e-05	0.00213693964523739	0.0030651940260911	0.0024367540194304	0	0	0.872820946188161	0.528637850537408
