GeneSymbol	P002	P004	P007	P017	P035	P051	P053	P064	P077	P080	P092	P094	P097	P110	P112	P122	P130	P152	P155	P196	P200	P213	P214	P217	P008	P009	P010	P016	P020	P023	P024	P037	P038	P039	P049	P050	P052	P054	P059	P068	P079	P085	P095	P098	P100	P109	P111	P114	P127	P138	P140	P142	P143	P144	P154	P158	P159	P169	P170	P174	P181	P183	P188	P199	P202	P203	P204	P205	P219
AT3G62820	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226	205.802142458226
AT3G62910	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913	107.432522928913
AT3G63090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G63130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G63190	1252.02788988591	1214.58413150507	877.686878081494	1258.39809141716	1294.79843426767	1232.93889069608	1191.31804005891	1182.60924818748	1253.29988513643	1087.01736972682	1115.92139722808	984.108187737702	1280.71485660748	1140.27804527775	1255.95475149301	1110.01027908379	1105.77652048725	1133.62802040463	1086.21612002399	1289.03055784369	1230.17332237134	1104.22370285572	1341.44851489435	928.320000977884	886.395669952925	769.698037042997	926.384206868895	835.35567517176	972.933330405946	1036.52614478836	679.185817631714	1077.6489270251	989.87606416168	810.99902712209	782.094999620837	992.754329571796	948.377515030446	998.078242332993	1231.30657697488	781.293749917998	768.0844996832	909.661761399083	828.705650298641	668.010960299959	1088.74660183558	953.475721311171	693.155872227005	925.250952265357	786.690948002393	1091.61331810838	1157.86520312755	947.105519779921	799.30133274973	928.016520590092	975.792486501493	976.852408193581	852.942833021558	1073.00686978919	1142.91671861977	783.824231729592	1233.24237108387	837.994348513782	1074.62040714898	1382.57129713109	671.930038087594	951.032381387017	800.854150381264	805.087908977803	687.831959465808
AT3G63300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G63490	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923	610.635605913923
AT3G63510	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146	24.6127418993146
AT4G00650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT4G01050	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
