"Mixture"	"cl"	"cl4"	"cl5"	"cl0"	"cl1"	"cl3"	"cl9"	"cl7"	"cl15"	"cl13"
"P130"	"0.0958677028232976"	"0.156454899486372"	"0.096683262387724"	"0.186522206290883"	"0.23278707613268"	"0.0390698706007655"	"0.0641745187495688"	"0.040113680737622"	"0.0443169867307851"	"0.045558959924568"
"P152"	"0.0602472755792373"	"0.0958447576805451"	"0.0841147264208921"	"0.212819944228794"	"0.305815041417488"	"0.0661756641986717"	"0.0640444101371606"	"0.0376944753870064"	"0.035338368730011"	"0.0380795451276645"
"P155"	"0.0654828748854606"	"0.0960393249301918"	"0.101650631097675"	"0.199685243587868"	"0.274411184666819"	"0.0992630531296598"	"0.0581251933773685"	"0.0239478754261551"	"0.04462679799331"	"0.0377060424356591"
"P196"	"0.0318511274956506"	"0.00966240815896413"	"0.102138006093441"	"0.212065891549878"	"0.419509306531424"	"0.0699553807945157"	"0.0658041942872587"	"0.0283422156598463"	"0.0420760714204789"	"0.0210353559441576"
"P200"	"0.0758770739343508"	"0.072323626790608"	"0.117345545775172"	"0.204684961688733"	"0.295732869371834"	"0.0639917104414422"	"0.059056107686864"	"0.031065123368376"	"0.0430738258216305"	"0.0373812207948976"
"P213"	"0.0679561403967019"	"0.146424917145703"	"0.114110003915635"	"0.203762191455609"	"0.236663868864605"	"0.0504051367171319"	"0.0650190933582038"	"0.0460374540550564"	"0.04012539660471"	"0.0301372383024558"
"P214"	"0.0812610480549461"	"0.0603880181139525"	"0.104316640756402"	"0.223240580585717"	"0.316547651741079"	"0.0545933115312165"	"0.0649567337059069"	"0.0382373959066332"	"0.0286828328632216"	"0.0292698941711296"
"P217"	"0.0301520828720348"	"0.213908136928727"	"0.0998783073868053"	"0.272993387801094"	"0.228246813055953"	"0"	"0.0400679429388525"	"0.0393702749693836"	"0.0329582215855694"	"0.042860794885185"
"P008"	"0.0321002123230937"	"0.172942424828996"	"0.0829526681587015"	"0.257307822812699"	"0.260674878935744"	"0.0401540777642987"	"0.051575681942798"	"0.0159460542430725"	"0.0328730894148389"	"0.0545005233933798"
"P009"	"0.0369480138668541"	"0.242760273727983"	"0.0903070253023243"	"0.241335479234404"	"0.200498950292042"	"0.0384691773663505"	"0.0419054487850174"	"0.0137210539213637"	"0.0407069691348015"	"0.0545512346120836"
"P010"	"0.0761236042974928"	"0.130954721634063"	"0.075779904157457"	"0.203937465110625"	"0.254449272719897"	"0.088618672671199"	"0.0530279624749415"	"0.0296950639667654"	"0.0416614035694922"	"0.0488515731246897"
"P016"	"0.0595978071544242"	"0.171041151902739"	"0.0741282928408173"	"0.19230719489266"	"0.236927397296137"	"0.0948318354566008"	"0.0423788878942979"	"0.030890194080018"	"0.0373897218426469"	"0.0639267622898926"
"P020"	"0.0317632748523092"	"0.174864612552805"	"0.0850548881850013"	"0.237562881217918"	"0.23747769999718"	"0.0812764703708189"	"0.0464602837634374"	"0.0327959627592455"	"0.0317226717400835"	"0.0425615521664619"
